JOB_ID,JOB_TITLE,COMPANY,LOCATION,EXPERIENCE,REQUIRED_SKILLS,JOB_DESCRIPTION,SOURCE_URL
J020,Reporting Analyst,Concentrix,"Gurugram, Haryana",1-4 years,"SQL, Excel (Pivot, VBA), Power BI, Reporting Automation, Data Validation","Produce operational and management reporting on a daily and monthly cycle. Automate manual reports, validate data accuracy and respond to stakeholder data requests.",https://www.naukri.com/jobs?keyword=Reporting+Analyst&location=Gurugram
J021,Data Engineer,Amazon India,"Bengaluru, Karnataka",3-6 years,"Python, SQL, Spark, Airflow, AWS (S3, Glue, Redshift), ETL, Data Modeling, Kafka","Design and operate large-scale data pipelines. Build reliable ETL/ELT workflows, model warehouse schemas and ensure data quality and freshness for downstream consumers.",https://www.naukri.com/jobs?keyword=Data+Engineer&location=Bengaluru
J022,Junior Data Engineer,Mphasis,"Pune, Maharashtra",0-2 years,"Python, SQL, ETL Basics, Pandas, Cloud Fundamentals, Git, Linux","Assist in building and maintaining data pipelines. Write transformation scripts, monitor scheduled jobs and support data ingestion from multiple sources.",https://www.naukri.com/jobs?keyword=Junior+Data+Engineer&location=Pune
J023,Machine Learning Engineer,Google India,"Bengaluru, Karnataka",3-7 years,"Python, PyTorch or TensorFlow, Scikit-learn, MLOps, Docker, Kubernetes, SQL, Statistics","Build, train and deploy ML models into production. Own feature pipelines, model evaluation, serving infrastructure and ongoing monitoring and retraining.",https://www.naukri.com/jobs?keyword=Machine+Learning+Engineer&location=Bengaluru
J024,Junior Machine Learning Engineer,Fractal Analytics,"Mumbai, Maharashtra",0-2 years,"Python, Scikit-learn, Pandas, NumPy, Statistics, SQL, Basic Deep Learning","Support model development under senior data scientists. Prepare datasets, run experiments, evaluate baselines and help productionise validated models.",https://www.naukri.com/jobs?keyword=Junior+Machine+Learning+Engineer&location=Mumbai
J025,AI Engineer,TCS Research,"Bengaluru, Karnataka",2-6 years,"Python, LLMs, PyTorch, Transformers, Prompt Engineering, RAG, Vector Databases, APIs","Build AI-powered applications using foundation models. Design retrieval pipelines, integrate model APIs, evaluate outputs and ship AI features into products.",https://www.naukri.com/jobs?keyword=AI+Engineer&location=Bengaluru
J026,Data Science Intern,Swiggy,"Bengaluru, Karnataka",0 years (Internship),"Python, Pandas, SQL, Statistics, Scikit-learn, Data Visualization","Internship supporting the data science team. Run exploratory analyses, build baseline models and deliver a scoped analytical project with mentorship.",https://www.naukri.com/jobs?keyword=Data+Science+Intern&location=Bengaluru
J027,Machine Learning Intern,Zomato,"Gurugram, Haryana",0 years (Internship),"Python, NumPy, Pandas, Scikit-learn, Linear Algebra, Probability, Git","Assist with ML experimentation: data preparation, feature engineering, model training and evaluation. Document findings and present to the team.",https://www.naukri.com/jobs?keyword=Machine+Learning+Intern&location=Gurugram
J028,Cloud Engineer,Accenture,"Bengaluru, Karnataka",3-6 years,"AWS or Azure, Terraform, Linux, Networking, Docker, Kubernetes, Python/Bash, IAM","Design and manage cloud infrastructure. Provision resources as code, manage networking and security, and support migration of workloads to cloud.",https://www.naukri.com/jobs?keyword=Cloud+Engineer&location=Bengaluru
J029,AWS Cloud Developer,Amazon Web Services,"Hyderabad, Telangana",2-5 years,"AWS Lambda, S3, EC2, DynamoDB, CloudFormation, Python, IAM, API Gateway, CI/CD","Build cloud-native applications on AWS. Develop serverless services, define infrastructure as code and optimise for cost, security and scalability.",https://www.naukri.com/jobs?keyword=AWS+Cloud+Developer&location=Hyderabad
J030,Azure Cloud Engineer,Microsoft India,"Bengaluru, Karnataka",3-6 years,"Azure, ARM/Bicep, Azure DevOps, Kubernetes (AKS), PowerShell, Networking, Entra ID","Deploy and operate workloads on Microsoft Azure. Manage AKS clusters, build deployment pipelines and implement identity, networking and monitoring.",https://www.naukri.com/jobs?keyword=Azure+Cloud+Engineer&location=Bengaluru
J031,Cloud Support Associate,Amazon Web Services,"Bengaluru, Karnataka",0-2 years,"Linux, Networking (TCP/IP, DNS), AWS Fundamentals, Troubleshooting, Scripting, Customer Communication","Provide technical support to AWS customers. Diagnose infrastructure and connectivity issues, reproduce problems and guide customers to resolution.",https://www.naukri.com/jobs?keyword=Cloud+Support+Associate&location=Bengaluru
J032,DevOps Engineer,Infosys,"Pune, Maharashtra",3-6 years,"Jenkins, Docker, Kubernetes, Terraform, Git, AWS/Azure, Linux, Ansible, Bash/Python","Own CI/CD pipelines and deployment automation. Containerise applications, manage orchestration, automate infrastructure and improve release velocity.",https://www.naukri.com/jobs?keyword=DevOps+Engineer&location=Pune
J033,Junior DevOps Engineer,Persistent Systems,"Pune, Maharashtra",0-2 years,"Linux, Git, Docker, Jenkins Basics, Shell Scripting, Cloud Fundamentals, YAML","Support build and deployment pipelines. Maintain CI jobs, assist with containerisation, monitor environments and automate repetitive operational tasks.",https://www.naukri.com/jobs?keyword=Junior+DevOps+Engineer&location=Pune
J034,Site Reliability Engineer,Flipkart,"Bengaluru, Karnataka",4-8 years,"Kubernetes, Prometheus, Grafana, Terraform, Go or Python, Linux Internals, Incident Response, SLO/SLI","Keep large-scale production systems reliable. Define SLOs, build observability, automate toil, lead incident response and drive post-mortems.",https://www.naukri.com/jobs?keyword=Site+Reliability+Engineer&location=Bengaluru
J035,Cloud/DevOps Intern,Nutanix India,"Bengaluru, Karnataka",0 years (Internship),"Linux, Git, Docker Basics, Python or Bash, Cloud Fundamentals, Networking Basics","Internship supporting platform engineering. Automate an internal workflow, learn CI/CD tooling and container orchestration with mentorship.",https://www.naukri.com/jobs?keyword=Cloud%2FDevOps+Intern&location=Bengaluru
J036,QA Engineer,Cognizant,"Chennai, Tamil Nadu",2-5 years,"Manual Testing, Selenium, TestNG, SQL, API Testing (Postman), JIRA, Agile, Test Planning","Ensure product quality across releases. Design and execute test cases, automate regression suites, log and track defects and sign off on releases.",https://www.naukri.com/jobs?keyword=QA+Engineer&location=Chennai
J037,Junior QA Engineer,Mindtree,"Bengaluru, Karnataka",0-2 years,"Manual Testing, Test Case Design, SQL Basics, JIRA, Bug Reporting, SDLC/STLC","Execute functional and regression test cases, report defects clearly and verify fixes. Learn automation tooling alongside manual testing responsibilities.",https://www.naukri.com/jobs?keyword=Junior+QA+Engineer&location=Bengaluru
J038,Software Test Engineer,Bosch India,"Bengaluru, Karnataka",2-6 years,"Test Automation, Python or Java, Selenium, CI Integration, Defect Management, Embedded Testing Basics","Validate software against functional and non-functional requirements. Build automated test suites, integrate with CI and analyse failures.",https://www.naukri.com/jobs?keyword=Software+Test+Engineer&location=Bengaluru
J039,Manual Testing Engineer,Wipro,"Hyderabad, Telangana",1-4 years,"Manual Testing, STLC, Test Case Writing, Regression Testing, JIRA, SQL, UAT Support","Perform end-to-end manual testing of applications. Write detailed test cases, run functional and regression cycles and support user acceptance testing.",https://www.naukri.com/jobs?keyword=Manual+Testing+Engineer&location=Hyderabad
J040,Automation Test Engineer,Capgemini,"Pune, Maharashtra",3-6 years,"Selenium WebDriver, Java or Python, TestNG/PyTest, REST Assured, Jenkins, Git, BDD/Cucumber","Build and maintain automation frameworks. Convert manual suites to automated tests, integrate into CI/CD and report on coverage and stability.",https://www.naukri.com/jobs?keyword=Automation+Test+Engineer&location=Pune
J041,QA Automation Intern,Zoho Corporation,"Chennai, Tamil Nadu",0 years (Internship),"Selenium Basics, Java or Python, Manual Testing Concepts, Git, SQL Basics","Internship in test automation. Write automated scripts for existing test cases, learn framework design and assist with regression execution.",https://www.naukri.com/jobs?keyword=QA+Automation+Intern&location=Chennai
J042,Cybersecurity Analyst,Deloitte India,"Bengaluru, Karnataka",2-5 years,"SIEM, Vulnerability Assessment, Network Security, Incident Response, Nessus, Firewalls, ISO 27001","Monitor and defend enterprise environments. Analyse alerts, run vulnerability scans, respond to incidents and support compliance and audit requirements.",https://www.naukri.com/jobs?keyword=Cybersecurity+Analyst&location=Bengaluru
J043,SOC Analyst,Accenture Security,"Hyderabad, Telangana",1-4 years,"SIEM (Splunk/QRadar), Log Analysis, Threat Detection, Incident Triage, MITRE ATT&CK, Networking","Work in a 24x7 security operations centre. Triage alerts, investigate suspicious activity, escalate confirmed incidents and document findings.",https://www.naukri.com/jobs?keyword=SOC+Analyst&location=Hyderabad
J044,Information Security Analyst,HDFC Bank,"Mumbai, Maharashtra",3-6 years,"Risk Assessment, IAM, Security Policy, Compliance (RBI/ISO 27001), Encryption, Audit, DLP","Protect information assets and ensure regulatory compliance. Conduct risk assessments, review access controls, define policy and support internal and external audits.",https://www.naukri.com/jobs?keyword=Information+Security+Analyst&location=Mumbai
J045,IT Support Engineer,Tech Mahindra,"Noida, Uttar Pradesh",1-4 years,"Windows/Linux Administration, Active Directory, Networking, Ticketing (ServiceNow), Hardware Troubleshooting","Provide L1/L2 technical support to internal users. Resolve hardware, software and network issues, manage accounts and maintain SLA on ticket resolution.",https://www.naukri.com/jobs?keyword=IT+Support+Engineer&location=Noida
J056,Technical Support Engineer,Freshworks,"Chennai, Tamil Nadu",2-5 years,"Troubleshooting, SQL, APIs, Linux, Customer Communication, Ticketing Systems, Product Knowledge","Support customers using the product. Diagnose technical issues, query logs and databases, reproduce bugs and work with engineering on escalations.",https://www.naukri.com/jobs?keyword=Technical+Support+Engineer&location=Chennai
J057,Generative AI Engineer,Infosys Topaz,"Bengaluru, Karnataka",3-7 years,"Python, LLMs, LangChain, RAG, Vector Databases (Pinecone/FAISS), Prompt Engineering, Fine-tuning, AWS/Azure AI","Build generative AI solutions for enterprise use cases. Design RAG architectures, fine-tune and evaluate models, and deploy safe, cost-efficient AI services.",https://www.naukri.com/jobs?keyword=Generative+AI+Engineer&location=Bengaluru
J048,NLP Engineer,Haptik (Jio),"Mumbai, Maharashtra",2-6 years,"Python, NLP, Transformers, spaCy, Hugging Face, BERT, Text Classification, NER, PyTorch","Develop natural language processing systems for conversational products. Build intent and entity models, improve accuracy on Indian-language data and deploy inference services.",https://www.naukri.com/jobs?keyword=NLP+Engineer&location=Mumbai
J049,AI/ML Intern,Fractal Analytics,"Bengaluru, Karnataka",0 years (Internship),"Python, Scikit-learn, Pandas, Statistics, Basic Deep Learning, SQL, Git","Internship on an applied AI team. Support data preparation, model experimentation and evaluation, and deliver a documented project with mentorship.",https://www.naukri.com/jobs?keyword=AI%2FML+Intern&location=Bengaluru
J050,Technical Consultant,Oracle India,"Bengaluru, Karnataka",4-8 years,"Solution Design, SQL, ERP/CRM Modules, Requirement Gathering, Client Communication, Integration, Documentation","Act as the technical bridge between clients and delivery teams. Gather requirements, design solutions on the product stack, lead implementation and support go-live and post-deployment issues.",https://www.naukri.com/jobs?keyword=Technical+Consultant&location=Bengaluru
